time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.servo_left.rotational_velocity.p3.f,{bodyFMU}.body.servo_right.rotational_velocity.p3.f,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
14.019999999999746,0.01,0.48182280298847496,0.051671522687935734,2.418627771739212,-0.12499958625918983,0.05901661595201556,0.0,0.8454937931319153,-2.262567085304134,0.1,-0.5,254.00000000000006,117.00000000000003
14.029999999999745,0.01,0.4918646858722188,0.051671625463576995,2.4234966047803073,-0.12529504208540976,0.05858837018451506,0.0,0.8306294405372503,-2.277437653368486,0.1,-0.5,255.00000000000006,131.00000000000003
14.039999999999745,0.01,0.5014506868099481,0.05167172269570882,2.428463559468374,-0.12558745783626973,0.05815786480468273,0.0,0.8164398436056076,-2.2916331320638124,0.1,-0.5,254.00000000000006,149.00000000000003
14.049999999999745,0.01,0.5106014276469689,0.05167181444315979,2.4335241806632655,-0.12587681939317474,0.05772512826502392,0.0,0.8028945109162503,-2.3051840161819954,0.1,-0.5,254.00000000000006,165.00000000000003
14.059999999999745,0.01,0.5193367181735055,0.051671900788225214,2.4386742156340135,-0.12616311262707203,0.057290188951667556,0.0,0.7899641119586731,-2.318119641073356,0.1,-0.5,255.00000000000006,182.00000000000003
14.069999999999744,0.01,0.5276754085764068,0.0516719818286186,2.443909604892918,-0.12644632341899414,0.05685307517571907,0.0,0.7776207360930475,-2.330467923167035,0.1,-0.5,254.00000000000006,198.00000000000006
14.079999999999744,0.01,0.5356355032236658,0.05167205767644622,2.4492264731514086,-0.12672643768566094,0.05641381517242887,0.0,0.7658377335976456,-2.342255518845853,0.1,-0.5,255.00000000000006,215.00000000000006
14.089999999999744,0.01,0.5432341944112292,0.05167212845578392,2.4546211210970825,-0.1270034413975749,0.05597243709698295,0.0,0.7545896532914651,-2.3535078866899943,0.1,-0.5,254.00000000000006,228.00000000000006
14.099999999999744,0.01,0.5504878892257012,0.05167219430021257,2.4600900173774174,-0.12727732059632918,0.0555289690223922,0.0,0.7438522075735985,-2.3642493222829453,0.1,-0.5,254.00000000000006,240.00000000000006
14.109999999999744,0.01,0.5574122513613236,0.05167225535107933,2.4656297909633262,-0.1275480614101664,0.05508343893833077,0.0,0.7336022100467327,-2.374503020482135,0.1,-0.5,254.00000000000006,246.00000000000006
14.119999999999743,0.01,0.5640222333616525,0.05167231175577424,2.471237223880594,-0.1278156500674471,0.05463587475038269,0.0,0.723817527079774,-2.384291123752222,0.1,-0.5,255.00000000000006,251.00000000000006
14.129999999999743,0.01,0.5703321086158041,0.05167236366622708,2.4769092442572003,-0.128080072908701,0.054186304280017125,0.0,0.714477030809846,-2.3936347690710704,0.1,-0.5,252.00000000000006,254.00000000000006
14.139999999999743,0.01,0.5763555026175704,0.05167241123760754,2.482642919690078,-0.12834131639724872,0.05373475526506814,0.0,0.7055605527136961,-2.40255413427924,0.1,-0.5,244.00000000000006,254.00000000000006
14.149999999999743,0.01,0.5821054222068119,0.05167245462716796,2.488435450913534,-0.12859936712854286,0.0532812553606485,0.0,0.6970488402623161,-2.4110684813548717,0.1,-0.5,231.00000000000006,254.00000000000006
14.159999999999743,0.01,0.5875942836752363,0.05167249399323462,2.494284165754202,-0.1288542118383864,0.05282583214045454,0.0,0.6889235153065112,-2.419196197966583,0.1,-0.5,211.00000000000006,254.00000000000006
14.169999999999742,0.01,0.5928339396001457,0.05167252949432907,2.5001865133608607,-0.1291058374101326,0.05236851309839301,0.0,0.6811670343093797,-2.4269548371874095,0.1,-0.5,188.00000000000003,254.00000000000006
14.179999999999742,0.01,0.5978357044235698,0.05167256128840392,2.5061400586961806,-0.12935423088097658,0.05190932565047872,0.0,0.6737626504532949,-2.4343611553411924,0.1,-0.5,164.00000000000003,254.00000000000006
14.189999999999742,0.01,0.6026103788886991,0.05167258953218312,2.512142477278509,-0.12959937944743732,0.05144829713695938,0.0,0.6666943774418523,-2.441431148160352,0.1,-0.5,140.00000000000003,254.00000000000006
14.199999999999742,0.01,0.6071682733633742,0.05167261438059509,2.5181915501624252,-0.1298412704701149,0.05098545482462517,0.0,0.6599469549500261,-2.448180085301106,0.5,-0.1,112.00000000000003,255.00000000000006
14.209999999999742,0.01,-0.14683066990944726,0.05166632560553082,2.520930341536696,-0.13010164177283035,0.05053634558049942,0.0,1.671140151714984,-1.4366043641122388,0.5,-0.1,87.00000000000001,254.00000000000006
