time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
16.099999999999717,0.01,-0.5253862279090825,0.05167155753331725,3.3476147291844125,-0.1221365471156926,-0.10162237226877599,0.0,0.5,-0.1,254.00000000000006,255.00000000000006
16.10999999999972,0.01,-0.5334502581958014,0.05167164355886523,3.3423202289660283,-0.12209670240958492,-0.10214177956288781,0.0,0.5,-0.1,254.00000000000006,251.00000000000006
16.11999999999972,0.01,-0.5411481649511781,0.05167172429031634,3.336946933477867,-0.12206060055237866,-0.10266158892658697,0.0,0.5,-0.1,254.00000000000006,236.00000000000006
16.129999999999722,0.01,-0.5484965688431239,0.05167179986283889,3.3314984202156084,-0.1220282405586377,-0.10318176899170309,0.0,0.5,-0.1,254.00000000000006,219.00000000000006
16.139999999999723,0.01,-0.5555113412903472,0.05167187041993483,3.3259781042191743,-0.12199962140984111,-0.10370228850239417,0.0,0.5,-0.1,254.00000000000006,201.00000000000006
16.149999999999725,0.01,-0.5622076284727822,0.05167193611137355,3.32038924547516,-0.12197474204234582,-0.10422311632252287,0.0,0.5,-0.1,254.00000000000006,172.00000000000003
16.159999999999727,0.01,-0.5685998904257776,0.05167199709182375,3.3147349559673005,-0.1219536013362379,-0.10474422144167383,0.0,0.5,-0.1,254.00000000000006,141.00000000000003
16.169999999999728,0.01,-0.5747019306825996,0.05167205351945913,3.30901820638565,-0.12193619810564821,-0.10526557298009113,0.0,0.1,-0.5,255.00000000000006,111.00000000000003
16.17999999999973,0.01,0.1778229840192291,0.051666499110723345,3.306596650187237,-0.12189617012867404,-0.1057827772488596,0.0,0.1,-0.5,254.00000000000006,80.00000000000001
16.18999999999973,0.01,0.1957248485336942,0.05166844595874536,3.3092142421413997,-0.1217804860404525,-0.1062872697394881,0.0,0.1,-0.5,254.00000000000006,70.00000000000001
16.199999999999733,0.01,0.09820010607037374,0.05166780137982237,3.310362417223875,-0.12167707593219174,-0.10679378858107527,0.0,0.1,-0.5,255.00000000000006,97.00000000000003
16.209999999999734,0.01,0.19103287513686734,0.0516684506420465,3.3118484201402314,-0.12157374104040708,-0.10730029835243372,0.0,0.1,-0.5,254.00000000000006,110.00000000000003
16.219999999999736,0.01,0.20084576866676174,0.051668538140378834,3.313845396194361,-0.12146144622904126,-0.10780523748695713,0.0,0.1,-0.5,254.00000000000006,126.00000000000003
16.229999999999738,0.01,0.21918119240091835,0.05166864693410756,3.315919973635667,-0.12134721298829049,-0.10830978856693153,0.0,0.1,-0.5,254.00000000000006,146.00000000000003
16.23999999999974,0.01,0.24591805878202075,0.05166887637162382,3.318253927209415,-0.12122893539111407,-0.10881356972096284,0.0,0.1,-0.5,255.00000000000006,165.00000000000003
16.24999999999974,0.01,0.2649194391144425,0.051669029643629134,3.320809588538546,-0.12110652040928133,-0.10931654096955808,0.0,0.1,-0.5,255.00000000000006,184.00000000000003
16.259999999999742,0.01,0.2848947856561927,0.051669202791761404,3.323557743073066,-0.120980423458255,-0.10981875989358,0.0,0.1,-0.5,254.00000000000006,204.00000000000006
