time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.encoder_left_output,{bodyFMU}.body.encoder_right_output,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
1.6400000000000012,0.01,0.0,0.058802785701342106,7.0,-7.0,0.0,0.138,-0.04588840089254557,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.6500000000000012,0.01,0.0,0.05902207455716982,7.0,-7.0,0.0,0.138,-0.04529949206917301,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.6600000000000013,0.01,0.0,0.059236598119062935,7.0,-7.0,0.0,0.138,-0.04470840950123211,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
1.6700000000000013,0.01,0.0,0.059446459940055145,8.0,-8.0,0.0,0.138,-0.04411520042565048,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.6800000000000013,0.01,0.0,0.05965176132290332,8.0,-8.0,0.0,0.138,-0.04351991105286557,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.6900000000000013,0.01,0.0,0.05985260136898744,8.0,-8.0,0.0,0.138,-0.04292258658913106,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.7000000000000013,0.01,0.0,0.06004907702614802,8.0,-8.0,0.0,0.138,-0.042323271258338444,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.7100000000000013,0.01,0.0,0.06024128313548396,8.0,-8.0,0.0,0.138,-0.04172200832336432,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.7200000000000013,0.01,0.0,0.06042931247713349,8.0,-8.0,0.0,0.138,-0.04111884010695401,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.7300000000000013,0.01,0.0,0.06061325581506015,8.0,-8.0,0.0,0.138,-0.04051380801215118,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.7400000000000013,0.01,0.0,0.06079320194086574,8.0,-8.0,0.0,0.138,-0.039906952542283554,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.7500000000000013,0.01,0.0,0.06096923771665094,9.0,-9.0,0.0,0.138,-0.0392983133205144,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.7600000000000013,0.01,0.0,0.06114144811694472,9.0,-9.0,0.0,0.138,-0.03868792910896908,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.7700000000000014,0.01,0.0,0.06130991626972256,9.0,-9.0,0.0,0.138,-0.03807583782744597,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.7800000000000014,0.01,0.0,0.06147472349653325,9.0,-9.0,0.0,0.138,-0.037462076571720744,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
1.7900000000000014,0.01,0.0,0.061635949351753774,9.0,-9.0,0.0,0.138,-0.03684668163145304,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8000000000000014,0.01,0.0,0.06179367166099115,9.0,-9.0,0.0,0.138,-0.03622968850770383,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8100000000000014,0.01,0.0,0.06194796655864975,9.0,-9.0,0.0,0.138,-0.03561113193007222,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
